id,function_name,codeFunctions,originalComment,codeComment
572,scroll,"def scroll(element: MacElementNode, direction: str) -> bool:
	
	direction_map = {
		'left': 'AXScrollLeftByPage',
		'right': 'AXScrollRightByPage',
		'up': 'AXScrollUpByPage',
		'down': 'AXScrollDownByPage'
	}

	if direction not in direction_map:
		logger.error(f'❌ Invalid scroll direction: {direction}')
		return False

	action = direction_map[direction]
	if action in element.actions:
		return perform_action(element, action)
	else:
		logger.error(f'❌ Element does not support scrolling {direction}: {element}')
		return False",Scrolls an element in the specified direction.,Determine scroll action for an element based on direction input and execute if supported.
573,search_result,"def search_result():
    
    return SearchResult(
        title=""Test Search Result"",
        type=SearchItemType.ENTITY,
        permalink=""test/search-result"",
        score=0.95,
        content=""This is a test search result with some content."",
        file_path=""/path/to/test/search-result.md"",
        metadata={""created_at"": datetime.datetime(2023, 2, 1, 12, 0)},
    )",Create a sample SearchResult for testing.,Create a mock search result object with predefined attributes.
574,_filter_to_supported_schema,"def _filter_to_supported_schema(schema: dict[str, Any]) -> dict[str, Any]:
  
  supported_fields: set[str] = set(types.JSONSchema.model_fields.keys())
  schema_field_names: tuple[str] = (""items"",)  # 'additional_properties' to come
  list_schema_field_names: tuple[str] = (
      ""any_of"",  # 'one_of', 'all_of', 'not' to come
  )
  dict_schema_field_names: tuple[str] = (""properties"",)  # 'defs' to come
  for field_name, field_value in schema.items():
    if field_name in schema_field_names:
      schema[field_name] = _filter_to_supported_schema(field_value)
    elif field_name in list_schema_field_names:
      schema[field_name] = [
          _filter_to_supported_schema(value) for value in field_value
      ]
    elif field_name in dict_schema_field_names:
      schema[field_name] = {
          key: _filter_to_supported_schema(value)
          for key, value in field_value.items()
      }
  return {
      key: value for key, value in schema.items() if key in supported_fields
  }",Filters the schema to only include fields that are supported by JSONSchema.,Filter and recursively process schema fields to retain only supported keys.
575,get_latest_opset,"def get_latest_opset():
    
    if TORCH_1_13:
        # If the PyTorch>=1.13, dynamically compute the latest opset minus one using 'symbolic_opset'
        return max(int(k[14:]) for k in vars(torch.onnx) if ""symbolic_opset"" in k) - 1
    # Otherwise for PyTorch<=1.12 return the corresponding predefined opset
    version = torch.onnx.producer_version.rsplit(""."", 1)[0]  # i.e. '2.3'
    return {""1.12"": 15, ""1.11"": 14, ""1.10"": 13, ""1.9"": 12, ""1.8"": 12}.get(version, 12)","Return the second-most recent ONNX opset version supported by this version of PyTorch, adjusted for maturity.",Determine the latest ONNX opset version based on PyTorch version.
576,_assert_valid_name,"def _assert_valid_name(name):
        
        if not re.match(r""^[a-zA-Z0-9_-]+$"", name):
            raise ValueError(f""Invalid name: {name}. Only letters, numbers, '_' and '-' are allowed."")
        if len(name) > 64:
            raise ValueError(f""Invalid name: {name}. Name must be less than 64 characters."")
        return name","Ensure that configured names are valid, raises ValueError if not.",Validate identifier format and length constraints.
577,extract_rating_key,"def extract_rating_key(self, item, item_type):
        
        key = item.get('key') if item_type == 'movie' else item.get('grandparentKey') if item_type == 'episode' else None
        self.logger.debug(f""Extracted rating key: {key} for item type: {item_type}"")
        return key if key else None",Extract the appropriate key depending on the item type.,Determine and log the rating key based on item type.
578,__from_env,"def __from_env():
    
    #global ATTN
    global BACKEND
    global DEBUG
    
    # Get current settings from central config
    #ATTN = 
    BACKEND = get_attention_backend()
    DEBUG = get_debug_mode()
    
    print(f""[ATTENTION] Using backend: {BACKEND}"")",Read current backend configuration,Initialize backend and debug settings from configuration
579,validate_envs,"def validate_envs() -> None:
    
    required_envs = {
        ""LIVEKIT_URL"": ""LiveKit server URL"",
        ""LIVEKIT_API_KEY"": ""API Key for LiveKit"",
        ""LIVEKIT_API_SECRET"": ""API Secret for LiveKit"",
        ""DEEPGRAM_API_KEY"": ""API key for Deepgram (used for STT)"",
        ""ELEVEN_API_KEY"": ""API key for ElevenLabs (used for TTS)"",
    }
    for key, description in required_envs.items():
        if not os.environ.get(key):
            logger.warning(""Environment variable %s (%s) is not set."", key, description)",Check for the presence of all required environment variables.,Check and log missing required environment variables for LiveKit and other APIs.
580,match,"def match(cls, responses, targets) -> float:
        
        logging.debug(f""{responses=}, {targets=}"")
        if not isinstance(responses, (tuple | list)):
            responses = str_to_coords(responses, dim=2)
        if not isinstance(targets, (tuple | list)):
            targets = str_to_coords(targets, dim=2)

        return cls.compute_score(responses, targets)",Exact match between targets and responses.,Convert inputs to coordinates and compute similarity score.
581,exec,"def exec(self, inputs):
        
        query, retrieved_doc = inputs
        
        prompt = f
        
        answer = call_llm(prompt)
        return answer",Generate an answer using the LLM,Generate an answer using a language model based on input query and document.
582,_is_prometheus_running,"def _is_prometheus_running(self) -> bool:
        
        command = (
            f""kubectl get pods -n {self.namespace} -l app.kubernetes.io/name=prometheus""
        )
        try:
            result = KubeCtl().exec_command(command)
            if ""Running"" in result:
                return True
        except CalledProcessError:
            return False
        return False",Check if Prometheus is already running in the cluster.,Check if Prometheus is running in Kubernetes namespace using kubectl command.
583,review_pr,"def review_pr(
    pr_url: str,
    config: Optional[str] = typer.Option(None, ""--config"", ""-c"", help=""Path to config file""),
    dry_run: bool = typer.Option(True, ""--dry-run/--post"", help=""Run analysis but do not post comment""),
):
    
    try:
        from .config import ReviewConfig
        from .reviewer import PRReviewer

        # Load configuration
        if config:
            review_config = ReviewConfig.from_file(config)
        else:
            review_config = ReviewConfig.from_file()

        # Override post_as_comment if dry run
        if dry_run:
            review_config.post_as_comment = False

        # Run review
        reviewer = PRReviewer(review_config)
        result = reviewer.review_pr(pr_url)

        if dry_run:
            typer.echo(""\n"" + ""="" * 50)
            typer.echo(""REVIEW RESULT (DRY RUN)"")
            typer.echo(""="" * 50)
            typer.echo(result)
        else:
            typer.echo(""✅ Review posted to PR"")

    except Exception as e:
        typer.echo(f""❌ Error during review: {e}"", err=True)
        raise typer.Exit(1)",Review a GitHub PR using kit analysis for testing.,Automates pull request review with optional configuration and dry-run mode.
584,log,"def log(self, out_str, end='\n', log_time=False):
        
        # for classes, if __str__() is not defined, then it's the same as __repr__()
        if not isinstance(out_str, str):
            out_str = out_str.__repr__()
        if log_time:
            out_str = '{0:%Y-%m-%d %H:%M:%S} '.format(datetime.datetime.now()) + out_str
        with open(self.log_name, ""a"") as log_file:
            log_file.write(out_str + end)
        print(out_str, end=end, flush=True)",out_str: single object now,"Log message to file and console, optionally with timestamp."
585,add_task,"def add_task(
    name: str,
    description: Optional[str] = None,
    expected_output: Optional[str] = None,
    agent: Optional[str] = None,
    position: Optional[str] = None,
):
    
    conf.assert_project()
    _position = parse_insertion_point(position)

    repo.commit_user_changes()
    with repo.Transaction() as commit:
        commit.add_message(f""Added task {name}"")
        generation.add_task(
            name=name,
            description=description,
            expected_output=expected_output,
            agent=agent,
            position=_position,
        )",Add a task to the user's project.,Add a new task to the project repository with optional details and commit changes.
586,generate_text,"def generate_text(self, prompt: str, **kwargs) -> str:
        
        kwargs.pop(""llm_model"")
        try:
            response = self.client.generate_content(prompt, **kwargs)
        except Exception as e:
            # Handle the exception appropriately, e.g., log the error or raise a custom exception
            raise RuntimeError(f""Failed to generate text with Gemini API: {e}"") from e
        return response.text",Generate text using the Gemini API.,"Generate text using an API, handling exceptions for robust output."
587,create_migration,"def create_migration(description):
    
    db_path = get_db_path()
    migrations_dir = os.path.join(project_root, ""lpm_kernel"", ""database"", ""migrations"")
    
    manager = MigrationManager(db_path)
    filepath = manager.create_migration(description, migrations_dir)
    
    # logger.info(f""Created new migration at: {filepath}"")
    return filepath",Create a new migration file,Generate database migration file with specified description.
588,pre_send_hook,"def pre_send_hook(self, conversation: sm.Conversation) -> bool:
        
        self.llm_model = conversation.llm_model
        self.llm_provider = conversation.llm_provider

        last_message = conversation.get_last_message(role=""user"")
        if not last_message:
            return True

        # Handle special commands
        if result := self._handle_special_commands(conversation, last_message.text):
            return result

        self.logger.info(f""Processing user message: {last_message.text}"")

        # Process entities and markers
        self._process_user_message(last_message.text)

        # Add context
        self._add_context_to_conversation(conversation)

        return True",Process user message before sending to LLM,Prepares and processes user messages in a conversation before sending.
589,get_bootcamp_class,"def get_bootcamp_class(self, name: str) -> Type:
        
        if not self._discovered:
            self.discover_bootcamps()

        if name not in self._registry:
            available = self.list_available_bootcamps()
            raise ValueError(
                f""Unknown bootcamp: {name}. ""
                f""Available bootcamps: {', '.join(available[:10])}...""
                f"" ({len(available)} total)""
            )

        return self._registry[name]",Get a bootcamp class by name.,"Retrieve bootcamp class by name, ensuring discovery and validation."
590,_process_mermaid_diagrams,"def _process_mermaid_diagrams(self, text: str, output_dir: Path) -> str:
        
        def replace_mermaid(match):
            try:
                diagram = mermaid.generate_diagram(match.group(1))
                img_path = output_dir / f""diagram_{hash(match.group(1))}.pdf""
                
                # Save diagram as PDF
                with open(img_path, 'wb') as f:
                    f.write(diagram)
                
                return (
                    ""\\begin{figure}[H]\n""
                    ""\\centering\n""
                    f""\\includegraphics[width=0.8\\textwidth]{{{img_path}}}\n""
                    ""\\caption{Generated diagram}\n""
                    ""\\end{figure}\n""
                )
            except Exception as e:
                logger.error(f""Error processing Mermaid diagram: {e}"")
                return ""% Error processing diagram\n""
        
        return re.sub(
            r'```mermaid\n(.*?)\n```',
            replace_mermaid,
            text,
            flags=re.DOTALL
        )",Convert Mermaid diagrams to TikZ or image figures.,Convert Mermaid code blocks in text to PDF diagrams and embed them in LaTeX format.
591,list_available_files,"def list_available_files(repo_id, token=None):
    
    try:
        # For public repositories, token is not needed
        files = list_repo_files(repo_id=repo_id, token=token, repo_type=""dataset"")
        return files
    except Exception as e:
        logger.error(f""Error listing files from repository: {str(e)}"")
        logger.info(""If this is a public repository, you can ignore token-related errors."")
        return []",List all files in the repository.,"Retrieve dataset files from a repository, handling errors gracefully."
592,prepare_docs_markdown,"def prepare_docs_markdown(clone_repos=True):
    
    if SITE.exists():
        print(f""Removing existing {SITE}"")
        shutil.rmtree(SITE)

    # Get hub-sdk repo
    if clone_repos:
        local_dir = DOCS.parent / Path(repo).name
        if not local_dir.exists():
            os.system(f""git clone {repo} {local_dir}"")
        os.system(f""git -C {local_dir} pull"")  # update repo
        shutil.rmtree(DOCS / ""en/hub/sdk"", ignore_errors=True)  # delete if exists
        shutil.copytree(local_dir / ""docs"", DOCS / ""en/hub/sdk"")  # for docs
        shutil.rmtree(DOCS.parent / ""hub_sdk"", ignore_errors=True)  # delete if exists
        shutil.copytree(local_dir / ""hub_sdk"", DOCS.parent / ""hub_sdk"")  # for mkdocstrings
        print(f""Cloned/Updated {repo} in {local_dir}"")

    # Add frontmatter
    for file in tqdm((DOCS / ""en"").rglob(""*.md""), desc=""Adding frontmatter""):
        update_markdown_files(file)",Build docs using mkdocs.,Prepare and update documentation by cloning repositories and adding frontmatter to markdown files.
593,get_vectorizer_config,"def get_vectorizer_config(model: BaseEmbeddingModel) -> VectorizerConfig:
        
        if model.model_name == ""openai-text2vec"":
            return Configure.Vectorizer.text2vec_openai(
                api_key=model.api_key,
                dimensions=model.vector_dimensions,
                model_name=model.model_name,
            )
        elif model.model_name == ""local-text2vec-transformers"":
            return Configure.Vectorizer.text2vec_transformers(
                inference_url=model.inference_url,
            )

        raise ValueError(f""Unsupported model type: {model.model_name}"")",Convert model config to Weaviate vectorizer config.,Determine vectorizer configuration based on embedding model type.
594,validate_config,"def validate_config(self, config: Dict[str, Any]) -> Dict[str, Any]:
        
        required_fields = [""api_url"", ""api_key"", ""room"", ""history_read_count"", ""sender_username"", ""sender_model""]
        missing_fields = [field for field in required_fields if not config.get(field)]
        if missing_fields:
            raise ValueError(f""Missing required configuration fields: {', '.join(missing_fields)}"")

        if not isinstance(config[""history_read_count""], int) or config[""history_read_count""] <= 0:
            raise ValueError(""history_read_count must be a positive integer"")

        return config",Validate Echochambers configuration from JSON,Validate configuration by checking required fields and ensuring correct data types.
595,get_artist_by_id,"def get_artist_by_id(api_url: str, api_key: str, api_timeout: int, artist_id: int) -> Optional[Dict[str, Any]]:
    
    return arr_request(api_url, api_key, api_timeout, f""artist/{artist_id}"")",Get artist details by ID from Lidarr.,Fetch artist details using API with specified parameters
596,save_cache,"def save_cache(self, enforce_constraints: bool = False):
        
        # Prune any buckets that have fewer samples than batch_size
        if enforce_constraints:
            self._enforce_min_bucket_size()
        if self.read_only:
            logger.debug(""Metadata backend is read-only, skipping cache save."")
            return
        # Convert any non-strings into strings as we save the index.
        aspect_ratio_bucket_indices_str = {
            key: [str(path) for path in value]
            for key, value in self.aspect_ratio_bucket_indices.items()
        }
        # Encode the cache as JSON.
        cache_data = {
            ""config"": StateTracker.get_data_backend_config(
                data_backend_id=self.data_backend.id
            ),
            ""aspect_ratio_bucket_indices"": aspect_ratio_bucket_indices_str,
        }
        logger.debug(f""save_cache has config to write: {cache_data['config']}"")
        cache_data_str = json.dumps(cache_data)
        # Use our DataBackend to write the cache file.
        self.data_backend.write(self.cache_file, cache_data_str)",Save cache data to file.,"Save cache data as JSON, enforcing constraints and handling read-only state."
597,save_api_key_to_env,"def save_api_key_to_env(self, provider: str, api_key: str) -> None:
        
        env_path = Path(__file__).parent.parent.parent.parent / '.env'
        
        # Create .env file if it doesn't exist
        if not env_path.exists():
            env_path.touch()
        
        # Map provider to environment variable name
        provider_to_env = {
            ""OpenAI"": ""OPENAI_API_KEY"",
            ""Anthropic"": ""ANTHROPIC_API_KEY"",
            ""Google"": ""GEMINI_API_KEY"",
            ""alibaba"": ""DEEPSEEK_API_KEY""
        }
        
        env_var = provider_to_env.get(provider)
        if env_var and api_key:
            set_key(str(env_path), env_var, api_key)",Save API key to .env file based on provider,Store API key in environment file based on provider mapping.
598,pred_to_json,"def pred_to_json(self, predn, filename):
        
        stem = Path(filename).stem
        image_id = int(stem) if stem.isnumeric() else stem
        box = ops.xyxy2xywh(predn[:, :4])  # xywh
        box[:, :2] -= box[:, 2:] / 2  # xy center to top-left corner
        for p, b in zip(predn.tolist(), box.tolist()):
            self.jdict.append(
                {
                    ""image_id"": image_id,
                    ""category_id"": self.class_map[int(p[5])],
                    ""bbox"": [round(x, 3) for x in b],
                    ""keypoints"": p[6:],
                    ""score"": round(p[4], 5),
                }
            )",Converts YOLO predictions to COCO JSON format.,Convert prediction data to JSON format for image annotations.
599,fetch_verified_codemods,"def fetch_verified_codemods(cli_api_key: str):
    
    VERIFIED_CODEMOD_DATA_DIR.mkdir(parents=True, exist_ok=True)
    repos_to_commits: dict[str, list[dict]] = {}

    # Fetch codemods in parallel
    with ProcessPoolExecutor() as executor:
        repos = filter_repos(REPO_ID_TO_URL)
        for result in executor.map(_fetch_and_store_codemod, repos.keys(), repos.values(), repeat(cli_api_key)):
            repo_name, commits_data = result
            if commits_data:
                repos_to_commits[repo_name] = commits_data

    # Store repo commits for cache validation
    repo_commits_file = VERIFIED_CODEMOD_DATA_DIR / ""repo_commits.json""
    print(f""Storing repo commits in {repo_commits_file!s}..."")
    with repo_commits_file.open(""w"") as f:
        f.write(json.dumps(repos_to_commits, indent=4))
        f.flush()",Fetch codemods for all repos in REPO_ID_TO_URL and save to JSON files.,Fetch and store verified code modifications using parallel processing and cache results.
600,filter_out_repeated_characters,"def filter_out_repeated_characters(text):
    
    # If any character appears more than 4 times in a row, filter it out
    import re
    if re.search(r'(.)\1{4,}', text):
        return False
    return True","Filter out strings with excessive character repetition, like 'aaaaaa' or 'hahahaha'",Checks if a string contains any character repeated over four times consecutively.
601,_execute_code,"def _execute_code(
        self,
        code: str,
        starting_globals: Dict[str, Any] = {},
        fn_name: str = ""prepare_jobs"",
        **kwargs,
    ) -> Tuple[Any, str]:
        
        # Add MCP tools to the execution globals
        exec_globals = {
            **starting_globals,
            ""mcp_tools"": self.mcp_tool_executor,
        }

        print(""About to execute code..."")
        # Compile and execute the code
        try:
            compile(code, ""<string>"", ""exec"")
            print(""Code compiled successfully"")
            exec(code, exec_globals)
            print(""Code executed successfully"")

            if fn_name not in exec_globals:
                raise ValueError(f""Function {fn_name} not found in the code block."")

            print(f""About to call {fn_name}..."")
            function = exec_globals[fn_name]
            output = function(**kwargs)
            print(""Function call completed"")

            return output, code

        except Exception as e:
            print(f""Error executing code: {e}"")
            raise",Execute code with MCP tools available,Execute and invoke a specified function from dynamically compiled code with custom globals.
602,attach_tool_from_function,"def attach_tool_from_function(self, func: Callable):
        

        name = func.__name__
        # Use the docstring for the description
        description = func.__doc__ or f""Tool based on function {name}""

        # Get type hints
        type_hints = func.__annotations__
        if not type_hints:
            raise ValueError(""Function must have type hints"")
        if ""return"" not in type_hints:
            raise ValueError(""Function must have a return type hint"")

        # Create parameter schema
        parameters = {}
        for param_name, param_type in type_hints.items():
            if param_name != ""return"":
                parameters[param_name] = {
                    ""type"": self._python_type_to_schema_type(param_type),
                    ""description"": f""Parameter {param_name} of type {param_type.__name__}"",
                    ""required"": True,
                }

        # Write a lambda around the code and persist it (for inline_agents, this will have to be different)
        lambda_file = agents_helper.create_lambda_file(func)
        tool = Tool.create(
            name, code_file=lambda_file, schema=parameters, description=description
        )
        return self.attach_tool(tool)",Attach the supplied code to this agent as a Tool,Convert a function into a tool with schema and attach it to a system.
603,process_soft_deletes,"def process_soft_deletes(codebase):
    
    soft_delete_models = {
        ""User"",
        ""Update"",
        ""Proposal"",
        ""Comment"",
        ""Project"",
        ""Team"",
        ""SavedSession"",
    }
    join_methods = {""join"", ""outerjoin"", ""innerjoin""}

    for file in codebase.files:
        for call in file.function_calls:
            if not should_process_join_call(call, soft_delete_models, join_methods):
                continue

            model_name = str(list(call.args)[0].value)
            print(f""Found join method for model {model_name} in file {file.filepath}"")
            add_deleted_at_check(file, call, model_name)

    codebase.commit()
    print(""commit"")
    print(codebase.get_diff())",Process soft delete conditions for join methods in the codebase.,Enhance codebase by integrating soft delete checks into join operations.
604,setup_agent,"def setup_agent():
    
    llm, embedder = setup_llm_and_embedder()

    try:

        weaviate_connection = WeaviateConnection()
        weaviate_backend = WeaviateMemoryBackend(
            connection=weaviate_connection,
            embedder=embedder,
            collection_name=WEAVIATE_INDEX_NAME,
            create_if_not_exist=True,
        )
        print(f""Weaviate memory backend initialized for index '{WEAVIATE_INDEX_NAME}'."")

    except Exception as e:
        print(f""FATAL: Failed to initialize Weaviate backend: {e}"", file=sys.stderr)
        print(""Please ensure Weaviate is running and accessible."", file=sys.stderr)
        raise

    memory = Memory(backend=weaviate_backend, message_limit=MEMORY_MESSAGE_LIMIT)

    AGENT_ROLE = ""Helpful assistant that remembers previous conversations using Weaviate.""
    agent = SimpleAgent(
        name=""ChatAgentWeaviate"",
        llm=llm,
        role=AGENT_ROLE,
        id=""agent-weaviate"",
        memory=memory,
    )
    return agent",Sets up the SimpleAgent with Weaviate memory.,Initialize a conversational agent with memory using Weaviate for persistent context storage.
605,_error_response,"def _error_response(
        self,
        message: str,
        status_code: int = 500,
    ) -> JSONResponse:
        

        return JSONResponse(status_code=status_code, content={""error"": message})",Create a simple error response.,Generate an error response with a custom message and status code.
606,_fetch_data_from_source,"def _fetch_data_from_source(self, table_name):
        
        db_path = ""~/npcsh_history.db""
        try:
            df = pd.read_sql(f""SELECT * FROM {table_name}"", engine)
            return df.to_json(orient=""records"")
        except Exception as e:
            print(f""Error fetching data from {table_name}: {e}"")
            return ""[]""",Fetch data from a database table,"Retrieve and convert database table data to JSON format, handling errors."
607,format_secret_id,"def format_secret_id(service, customer_id, service_type=""ai_provider""):
        
        if os.environ.get(""isDevelopmentMode"") == ""enabled"":
            return None

        prefix = """"
        if service_type == ""integration"":
            prefix = ""integration-""

        return f""{prefix}{service}-api-key-{customer_id}""",Generate a standardized secret ID.,"Generate API key string based on service, customer, and environment."
608,get_traces,"def get_traces(
        self,
        service_name: str,
        start_time: datetime,
        end_time: datetime,
        limit: int = None,
    ) -> list:
        
        # Calculate the lookback in milliseconds.
        lookback = int((datetime.now() - start_time).total_seconds())

        url = f""{self.base_url}/api/traces?service={service_name}&lookback={lookback}s""
        if limit is not None:
            url += f""&limit={limit}""

        try:
            response = requests.get(url)
            response.raise_for_status()
            return response.json().get(""data"", [])
        except requests.RequestException as e:
            print(f""Failed to get traces for {service_name}: {e}"")
            return []",Fetch traces for a specific service between start_time and end_time.,"Fetch service traces within a time range, handling request errors."
609,get_skill_mapping,"def get_skill_mapping() -> Dict[str, Dict[str, Set[str]]]:
    
    mapping = {}
    all_real_skills = get_all_real_skills()

    # Build mapping from configuration
    for skill_name, keywords in SKILL_KEYWORD_CONFIG.items():
        if skill_name in all_real_skills:
            skill_states = all_real_skills[skill_name]

            # Special case for twitter tweet - use only post_tweet state
            if skill_name == ""twitter"":
                for keyword in keywords:
                    if keyword == ""tweet"":
                        mapping[keyword] = {
                            skill_name: {""post_tweet""}
                            if ""post_tweet"" in skill_states
                            else skill_states
                        }
                    else:
                        mapping[keyword] = {skill_name: skill_states}
            else:
                # Standard mapping for all keywords
                for keyword in keywords:
                    mapping[keyword] = {skill_name: skill_states}

    # Add direct skill name mappings for any skills not in config
    for skill_name, skill_states in all_real_skills.items():
        if skill_name not in SKILL_KEYWORD_CONFIG and skill_name not in mapping:
            mapping[skill_name] = {skill_name: skill_states}

    return mapping",Generate skill mapping dynamically from actual skill implementations.,Generate a skill-to-keyword mapping with special handling for Twitter skills.
610,_convert_initial_actions,"def _convert_initial_actions(self, actions: List[Dict[str, Dict[str, Any]]]) -> List[ActionModel]:
		
		converted_actions = []
		action_model = self.ActionModel
		for action_dict in actions:
			# Each action_dict should have a single key-value pair
			action_name = next(iter(action_dict))
			params = action_dict[action_name]

			# Get the parameter model for this action from registry
			action_info = self.controller.registry.registry.actions[action_name]
			param_model = action_info.param_model

			# Create validated parameters using the appropriate param model
			validated_params = param_model(**params)

			# Create ActionModel instance with the validated parameters
			action_model = self.ActionModel(**{action_name: validated_params})
			converted_actions.append(action_model)

		return converted_actions",Convert dictionary-based actions to ActionModel instances,Convert action dictionaries into validated action model instances.
611,load_custom_config,"def load_custom_config(config_path):
    
    if not os.path.exists(config_path):
        raise FileNotFoundError(f""Config file not found: {config_path}"")
    
    spec = importlib.util.spec_from_file_location(""custom_config"", config_path)
    custom_config = importlib.util.module_from_spec(spec)
    spec.loader.exec_module(custom_config)
    return custom_config",Load custom configuration from a Python file,Load and execute a custom configuration file from a specified path.
612,call_judge_with_retry,"def call_judge_with_retry(client, model_name, prompt, temperature=0, max_tokens=256, max_retries=5, base_delay=1):
    
    retries = 0
    while True:
        try:
            completion = client.chat.completions.create(
                model=model_name,
                messages=prompt,
                temperature=temperature,
                max_tokens=max_tokens,
            )
            return completion
        except RateLimitError as e:
            retries += 1
            if retries > max_retries:
                raise Exception(f""Max retries ({max_retries}) exceeded for prompt. Error: {e}"")
            delay = base_delay * (2 ** (retries - 1))
            print(f""Rate limit hit (Attempt {retries}/{max_retries}). Retrying in {delay} seconds..."")
            time.sleep(delay)
        except Exception as e:
            raise Exception(f""An unexpected error occurred during API call: {e}"")",Calls the OpenAI API's chat completion endpoint with exponential backoff.,Retry API call for chat completion with exponential backoff on rate limit errors
613,_fetch_stock_data,"def _fetch_stock_data(self, symbol: str, start: str, end: str, timeframe: str = ""1d"") -> pd.DataFrame:
        
        with st.spinner(f""Fetching {symbol} {timeframe} data...""):
            try:
                stock = yf.Ticker(symbol)
                hist = stock.history(start=start, end=end, interval=timeframe)

                if hist.empty:
                    st.warning(f""No historical data found for {symbol}"")
                    return pd.DataFrame()

                return hist.reset_index()
            except Exception as e:
                raise ValueError(f""Data fetch failed: {str(e)}"")",Fetch and validate stock data with timeframe support,Fetch historical stock data for a given symbol and timeframe using Yahoo Finance.
614,extract_code_examples,"def extract_code_examples(cls, html_section: Optional[str]) -> List[Dict[str, str]]:
        
        if not html_section:
            return []

        soup = BeautifulSoup(html_section, 'html.parser')
        code_blocks = soup.find_all('pre')

        examples = []
        for block in code_blocks:
            # Make sure we're working with a Tag
            if not isinstance(block, Tag):
                continue

            # Try to determine the language
            language = 'typescript'  # Default
            classes = block.attrs.get('class', [])

            # Make sure classes is a list of strings
            if not isinstance(classes, list):
                classes = [str(classes)]

            class_str = ' '.join(classes)

            if 'python' in class_str.lower():
                language = 'python'
            elif 'javascript' in class_str.lower():
                language = 'javascript'

            # Get the code content
            code = block.get_text()
            examples.append({'language': language, 'code': code})

        return examples",Extract code examples from an HTML section.,Extracts and categorizes code snippets from HTML by programming language.
615,heart_input_schema,"def heart_input_schema():
    
    return create_model(
        ""HeartDiseaseInput"",
        **{
            ""age"": int,
            ""gender"": int,
            ""cp"": int,
            ""trtbps"": int,
            ""chol"": int,
            ""fbs"": int,
            ""restecg"": int,
            ""thalachh"": int,
            ""exng"": int,
            ""oldpeak"": float,
            ""slp"": int,
            ""caa"": int,
            ""thall"": int,
        },
    )",Define the input schema for heart disease prediction.,Define a data model for heart disease prediction input parameters.
616,_parse_assistant_message,"def _parse_assistant_message(self, message: Any) -> Union[str, AgentAction]:
        
        logger.debug(f""Assistant message content: {getattr(message, 'content', '')}"")
        logger.debug(f""Tool calls present: {bool(getattr(message, 'tool_calls', None))}"")

        if getattr(message, ""tool_calls"", None):
            tool_call = message.tool_calls[0]
            logger.info(""Function call detected"")
            logger.debug(f""Function name: {tool_call.function.name}"")
            logger.debug(f""Function arguments: {tool_call.function.arguments}"")

            try:
                arguments = json.loads(tool_call.function.arguments)
            except json.JSONDecodeError as e:
                logger.error(f""Failed to parse function arguments: {e}"")
                arguments = {""error"": ""Invalid JSON parameters""}

            return AgentAction(thought=message.content or """", action=tool_call.function.name, action_input=arguments)

        logger.info(""Returning text response"")
        return message.content or """"",Parse assistant message structure.,Parse assistant messages to determine if they contain tool calls or return text responses.
617,download_file_from_s3,"def download_file_from_s3(bucket_name, key, local_file_path):
    
    s3_client.download_file(bucket_name, key, local_file_path)
    print(f""Downloaded {key} to {local_file_path}"")",Download a single file from S3.,Downloads a file from an S3 bucket to a local path and logs the action.
618,get_model_loader,"def get_model_loader(load_config: LoadConfig) -> BaseModelLoader:
    

    if isinstance(load_config.load_format, type):
        return load_config.load_format(load_config)

    if load_config.load_format == LoadFormat.AUTO:
        update_megatron_weight_loader()
        return MegatronLoader(load_config)

    # NOTE(sgm): change the weight_loader function in runtime
    if load_config.load_format == LoadFormat.MEGATRON:
        update_megatron_weight_loader()
        return MegatronLoader(load_config)

    if load_config.load_format == LoadFormat.HF:
        update_hf_weight_loader()
        return HFLoader(load_config)

    if load_config.load_format == LoadFormat.DTENSOR:
        update_dtensor_weight_loader()
        return DTensorLoader(load_config)

    if load_config.load_format == LoadFormat.DUMMY_HF:
        update_hf_weight_loader()
        return DummyModelLoader(load_config)

    if load_config.load_format == LoadFormat.DUMMY_MEGATRON:
        update_megatron_weight_loader()
        return DummyModelLoader(load_config)

    if load_config.load_format == LoadFormat.DUMMY_DTENSOR:
        update_dtensor_weight_loader()
        return DummyModelLoader(load_config)

    raise ValueError(""load format not supported in verl: {}, only support {} and {}"".format(load_config.load_format, LoadFormat.MEGATRON, LoadFormat.HF))",Get a model loader based on the load format.,Determine and return the appropriate model loader based on the specified configuration format.
619,list_groups,"def list_groups() -> list[str]:
    
    if not (bridge := _get_bridge()):
        return [""Error: Bridge not connected""]
    try:
        # phue2 get_group() returns a dict {id: {details}} including name
        groups = bridge.get_group()
        return [group_details[""name""] for group_details in groups.values()]
    except (PhueException, Exception) as e:
        return [f""Error listing groups: {e}""]",Lists the names of all available Hue light groups.,Retrieve and return group names from a connected bridge or error message.
620,lora_info,"def lora_info(args):
    
    if ""lora"" not in args.model_type:
        return """"
    if args.lora_type.lower() == ""standard"":
        return f
    if args.lora_type.lower() == ""lycoris"":
        lycoris_config_file = args.lycoris_config
        # read the json file
        with open(lycoris_config_file, ""r"") as file:
            lycoris_config = json.load(file)
        return f",Return a string with the LORA information.,Determine LoRA configuration based on model type and LoRA variant.
