id,code,original,human,original_okay,count
636767691a6d9265ec0181aa,"public static int nullSafeHashCode(long[] array){
  if (array == null) {
    return 0;
  }
  int hash=INITIAL_HASH;
  int arraySize=array.length;
  for (int i=0; i < arraySize; i++) {
    hash=MULTIPLIER * hash + hashCode(array[i]);
  }
  return hash;
}
",Return a hash code based on the contents of the specified array. ,"Compute the hash code of the whole array, by accumulating the multiplication of each element hash code and the MULTIPLIER.",yes,yes
636767441a6d9265ec017cc1,"private TreeNode<T> rotateRight(TreeNode<T> node){
  TreeNode<T> left=node.left;
  left.parent=null;
  node.setLeftChild(left.right);
  left.setRightChild(node);
  node.updateHeightAndSubtreeSize();
  left.updateHeightAndSubtreeSize();
  return left;
}
",Performs a right node rotation.,Perform a right node rotation on the AVL tree.,yes,yes
6367667f1a6d9265ec01745c,"@SuppressWarnings(""unchecked"") public static void addToClassPath(Vector<URL> cpV,String dir){
  try {
    String cpComp[]=getFilesByExt(dir,"".jar"");
    if (cpComp != null) {
      int jarCount=cpComp.length;
      for (int i=0; i < jarCount; i++) {
        URL url=getURL(dir,cpComp[i]);
        if (url != null)         cpV.addElement(url);
      }
    }
  }
 catch (  Exception ex) {
    logger.debug(""failed to add urls to classpath"",ex);
  }
}
","Add all the jar files in a dir to the classpath, represented as a Vector of URLs.",Add all the jar files in the given dir to the classpath. ,yes,yes
6367677e1a6d9265ec01830f,"public String format(LoggingEvent event){
  if (sbuf.capacity() > MAX_CAPACITY) {
    sbuf=new StringBuffer(BUF_SIZE);
  }
 else {
    sbuf.setLength(0);
  }
  PatternConverter c=head;
  while (c != null) {
    c.format(sbuf,event);
    c=c.next;
  }
  return sbuf.toString();
}
",Produces a formatted string as specified by the conversion pattern.,"Format the buffered string with the pattern converter, and return the result.",yes,yes
636767031a6d9265ec0178dd,"public long contentLength(){
  long size;
  try {
    size=Long.parseLong(request.getHeader(FileUpload.CONTENT_LENGTH));
  }
 catch (  NumberFormatException e) {
    size=request.getContentLength();
  }
  return size;
}
",Retrieve the content length of the request.,"Compute and return the length of the request content header, return the content length if NumberFormatException happens.",yes,yes
636766f11a6d9265ec017658,"public static int indexOfLastSeparator(String filename){
  if (filename == null) {
    return -1;
  }
  int lastUnixPos=filename.lastIndexOf(UNIX_SEPARATOR);
  int lastWindowsPos=filename.lastIndexOf(WINDOWS_SEPARATOR);
  return Math.max(lastUnixPos,lastWindowsPos);
}
",Returns the index of the last directory separator character. ,"Return the index of the last directory separator character, under Unix or Windows.",yes,no
636767121a6d9265ec017b0a,"private int parseEndOfLine(String headerPart,int end){
  int index=end;
  for (; ; ) {
    int offset=headerPart.indexOf('\r',index);
    if (offset == -1 || offset + 1 >= headerPart.length()) {
      throw new IllegalStateException(""Expected headers to be terminated by an empty line."");
    }
    if (headerPart.charAt(offset + 1) == '\n') {
      return offset;
    }
    index=offset + 1;
  }
}
",Skips bytes until the end of the current line.,Parse the header part starting from the given end position and return the index of the enter sequence.,yes,yes
636766f61a6d9265ec017701,"public static int lastIndexOf(String str,String searchStr){
  if (StringUtils.isEmpty(str)) {
    return StringUtils.INDEX_NOT_FOUND;
  }
  return str.lastIndexOf(searchStr);
}
","Finds the last index within a String, handling null. ","Find the last index of the searchStr in str, and return INDEX_NOT_FOUND if str is empty.",yes,yes
6367670b1a6d9265ec0179fe,"@Override public void write(byte b[]) throws IOException {
  checkThreshold(b.length);
  getStream().write(b);
  written+=b.length;
}
",Writes b.length bytes from the specified byte array to this output stream.,Write the given byte array b into the output stream that this class represents.,yes,yes
636767df1a6d9265ec01873c,"public String id(String entityId){
  if (entityId == null) {
    return String.valueOf(point);
  }
 else {
    return point + Const.ID_CONNECTOR + entityId;
  }
}
",Return the row id,Return the id by concatenating the point and the entity id with id connector.,yes,yes
636766f91a6d9265ec01777f,"public static boolean toBoolean(Boolean bool){
  if (bool == null) {
    return false;
  }
  return bool.booleanValue() ? true : false;
}
",Converts a Boolean to a boolean handling null by returning false. ,Convert a Boolean to a boolean handling null by returning false.,yes,yes
6367675f1a6d9265ec0180d3,"public static <V,E>IsomorphicGraphMapping<V,E> identity(Graph<V,E> graph){
  Map<V,V> fMap=CollectionUtil.newHashMapWithExpectedSize(graph.vertexSet().size());
  Map<V,V> bMap=CollectionUtil.newHashMapWithExpectedSize(graph.vertexSet().size());
  for (  V v : graph.vertexSet()) {
    fMap.put(v,v);
    bMap.put(v,v);
  }
  return new IsomorphicGraphMapping<>(fMap,bMap,graph,graph);
}
",Computes an identity automorphism (i.e. a self-mapping of a graph in which each vertex also maps to itself).,Compute and return an identity automorphism for the given graph.,yes,yes
636766fe1a6d9265ec017833,"public static void forceDeleteOnExit(File file) throws IOException {
  if (file.isDirectory()) {
    deleteDirectoryOnExit(file);
  }
 else {
    file.deleteOnExit();
  }
}
",Schedules a file to be deleted when JVM exits. ,Delete the file or the whole directory when exiting.,yes,no
636767791a6d9265ec018257,"public void addMessage(final LogRecord lr){
  if (_isDisposed == true) {
    return;
  }
  SwingUtilities.invokeLater(new Runnable(){
    public void run(){
      _categoryExplorerTree.getExplorerModel().addLogRecord(lr);
      _table.getFilteredLogTableModel().addLogRecord(lr);
      updateStatusLabel();
    }
  }
);
}
",Add a log record message to be displayed in the LogTable. ,"Add a log record message to be displayed in the LogTable, with the SwingUtilities.",yes,yes
636767641a6d9265ec01817d,"@Override public void generateGraph(Graph<V,E> target,Map<String,V> resultMap){
  for (int i=0; i < sizeA; i++) {
    partitionA.add(target.addVertex());
  }
  for (int i=0; i < sizeB; i++) {
    partitionB.add(target.addVertex());
  }
  for (  V u : partitionA) {
    for (    V v : partitionB) {
      target.addEdge(u,v);
    }
  }
}
",Construct a complete bipartite graph.,Construct a complete bipartite graph from partitions A and B.,yes,yes
636766ff1a6d9265ec017851,"protected int findByte(byte value,int pos){
  for (int i=pos; i < tail; i++) {
    if (buffer[i] == value) {
      return i;
    }
  }
  return -1;
}
","Searches for a byte of specified value in the buffer, starting at the specified position.","Searches for a byte of the specified value in the buffer, starting at the specified position.",yes,yes
636767a41a6d9265ec018582,"public static <T>int writeDelimitedTo(OutputStream out,T message,Schema<T> schema,LinkedBuffer buffer) throws IOException {
  if (buffer.start != buffer.offset)   throw new IllegalArgumentException(""Buffer previously used and had not been reset."");
  final ProtobufOutput output=new ProtobufOutput(buffer);
  schema.writeTo(output,message);
  final int size=output.getSize();
  ProtobufOutput.writeRawVarInt32Bytes(out,size);
  final int msgSize=LinkedBuffer.writeTo(out,buffer);
  assert size == msgSize;
  return size;
}
","Serializes the message, prefixed with its length, into an OutputStream.","Use ProtobufOutput and the LinkedBuffer to write the message into the given OutputStream out, and return the message size.",yes,yes
636767001a6d9265ec01787e,"public String toString(){
  if (this.getObject() == null) {
    return this.getStyle().getNullText();
  }
  Class<?> clazz=this.getObject().getClass();
  this.appendFieldsIn(clazz);
  while (clazz.getSuperclass() != null && clazz != this.getUpToClass()) {
    clazz=clazz.getSuperclass();
    this.appendFieldsIn(clazz);
  }
  return super.toString();
}
",Gets the String built by this builder.,Return the string built by this string builder.,yes,yes
636767781a6d9265ec01823d,"protected void subAppend(LoggingEvent event){
  try {
    File tmp=File.createTempFile(prefix,suffix,dir);
    Writer out=new BufferedWriter(new FileWriter(tmp));
    out.write(event.message);
    out.close();
  }
 catch (  Exception e) {
    errorHandler.error(""Error during creation of temporary File!"",e,1);
  }
}
",This method does actual writing,Write the message in the event into a temp file.,yes,yes
636766ef1a6d9265ec01761a,"int addType(final String value){
  int hashCode=hash(Symbol.TYPE_TAG,value);
  Entry entry=get(hashCode);
  while (entry != null) {
    if (entry.tag == Symbol.TYPE_TAG && entry.hashCode == hashCode && entry.value.equals(value)) {
      return entry.index;
    }
    entry=entry.next;
  }
  return addTypeInternal(new Entry(typeCount,Symbol.TYPE_TAG,value,hashCode));
}
",Adds a type in the type table of this symbol table. ,Add a new type entry of the given value into the type table of this symbol table. ,yes,yes
636766821a6d9265ec0174b6,"public static Class<?>[] resolveArguments(Type genericType,Class<?> targetType){
  Class<?>[] result=null;
  if (genericType instanceof ParameterizedType) {
    ParameterizedType paramType=(ParameterizedType)genericType;
    Type[] arguments=paramType.getActualTypeArguments();
    result=new Class[arguments.length];
    for (int i=0; i < arguments.length; i++)     result[i]=resolveClass(arguments[i],targetType);
  }
 else   if (genericType instanceof TypeVariable) {
    result=new Class[1];
    result[0]=resolveClass(genericType,targetType);
  }
  return result;
}
",Resolves the arguments for the genericType using the type variable information for targetType. ,Resolve and return the arguments for the genericType using the type variable information for the targetType. ,yes,yes
636767e11a6d9265ec018781,"@Override public void accept(final METRICS data){
  final String id=data.id();
  final METRICS existed=buffer.get(id);
  if (existed == null) {
    buffer.put(id,data);
  }
 else {
    final boolean isAbandoned=!existed.combine(data);
    if (isAbandoned) {
      buffer.remove(id);
    }
  }
}
",Accept the data into the cache and merge with the existing value. ,Accept the data into the buffer if its id does not exist in the buffer. ,yes,yes
636767531a6d9265ec017efb,"void insertBefore(Bucket bucket){
  this.next=bucket;
  if (bucket != null) {
    this.prev=bucket.prev;
    if (bucket.prev != null) {
      bucket.prev.next=this;
    }
    bucket.prev=this;
  }
 else {
    this.prev=null;
  }
}
",Inserts this bucket in the data structure before the bucket.,Insert this bucket in the data structure before the given bucket.,yes,yes
636766f11a6d9265ec017641,"@Override public int available() throws IOException {
  return this.index < this.length ? this.length - this.index : this.length >= 0 && this.reader.ready() ? 1 : 0;
}
",@see InputStream#available(),Check the available space of this InputStream according to the index.,no,yes
636767de1a6d9265ec018706,"public Mappings diffStructure(String tableName,Mappings mappings){
  if (!structures.containsKey(tableName)) {
    return new Mappings();
  }
  Map<String,Object> properties=mappings.getProperties();
  Map<String,Object> diffProperties=structures.get(tableName).diffFields(new Fields(mappings));
  return Mappings.builder().type(ElasticSearchClient.TYPE).properties(diffProperties).build();
}
",Returns mappings with fields that not exist in the input mappings. ,Return mappings with fields that do not exist in the input mappings. ,yes,yes
636767dd1a6d9265ec0186e5,"public void addNewTarget(Channels channels,IConsumer consumer){
  Group group=new Group(channels,consumer);
  ArrayList<Group> newList=new ArrayList<Group>();
  for (  Group target : consumeTargets) {
    newList.add(target);
  }
  newList.add(group);
  consumeTargets=newList;
  size+=channels.size();
}
",Add a new target channels.,Add the given target channels to the consumeTargets.,yes,yes
636767871a6d9265ec01846d,"public static void createConfigurationDirectory(){
  String home=System.getProperty(""user.home"");
  String sep=System.getProperty(""file.separator"");
  File f=new File(home + sep + ""lf5"");
  if (!f.exists()) {
    try {
      f.mkdir();
    }
 catch (    SecurityException e) {
      e.printStackTrace();
    }
  }
}
",Creates the directory where the MRU file list will be written. ,"Create the ""lf5"" directory in the Documents and Settings directory on Windows machines, or the user.home variable points on all other platforms.",yes,yes
636766f81a6d9265ec01775b,"public long readLong(final int offset){
  long l1=readInt(offset);
  long l0=readInt(offset + 4) & 0xFFFFFFFFL;
  return (l1 << 32) | l0;
}
",Reads a signed long value in this ClassReader.,Read a signed long value.,yes,yes
636767a51a6d9265ec01859d,"public boolean equals(final byte[] data,int offset,final int len){
  final byte[] bytes=this.bytes;
  if (len != bytes.length)   return false;
  for (int i=0; i < len; ) {
    if (bytes[i++] != data[offset++]) {
      return false;
    }
  }
  return true;
}
",Returns true if the contents of the internal array and the provided array match.,Return true if the contents of the internal array bytes and the provided array data match.,yes,yes
6367670b1a6d9265ec0179ff,"public static Byte[] nullToEmpty(final Byte[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_BYTE_OBJECT_ARRAY;
  }
  return array;
}
",Defensive programming technique to change a null reference to an empty one. ,Return an EMPTY_BYTE_OBJECT_ARRAY array for a null or empty input array.,yes,yes
6367677f1a6d9265ec018347,"public synchronized void send(final String message){
  Iterator ce=connections.iterator();
  for (Iterator e=writers.iterator(); e.hasNext(); ) {
    ce.next();
    PrintWriter writer=(PrintWriter)e.next();
    writer.print(message);
    if (writer.checkError()) {
      ce.remove();
      e.remove();
    }
  }
}
",Sends a message to each of the clients in telnet-friendly output.,Send a message to each of the connections in telnet-friendly output.,yes,yes
6367670a1a6d9265ec0179e8,"public static Boolean[] nullToEmpty(final Boolean[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_OBJECT_ARRAY;
  }
  return array;
}
",Defensive programming technique to change a null reference to an empty one. ,Return an EMPTY_BOOLEAN_OBJECT_ARRAY array for a null or empty input array.,yes,yes
6367677f1a6d9265ec01834b,"public void put(LoggingEvent o){
  if (numElements != maxSize) {
    buf[next]=o;
    if (++next == maxSize) {
      next=0;
    }
    numElements++;
  }
}
",Place a LoggingEvent in the buffer.,Place a  LoggingEvent in the buffer buf.,yes,yes
636767df1a6d9265ec018744,"protected List<TimeRange> buildTimeRanges(long start,long end){
  if (start >= end) {
    return null;
  }
  end+=1;
  final List<TimeRange> timeRanges=new ArrayList<>();
  do {
    long batchEnd=Math.min(start + FETCH_DATA_DURATION,end);
    timeRanges.add(new TimeRange(start,batchEnd));
    start=batchEnd;
  }
 while (start < end);
  return timeRanges;
}
",Split time ranges to insure the start time and end time is small then FETCH_DATA_DURATION.,Split time ranges to insure the start time and end time is small than FETCH_DATA_DURATION.,yes,yes
636767031a6d9265ec0178e6,"public static byte[] toPrimitive(final Byte[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BYTE_ARRAY;
  }
  final byte[] result=new byte[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].byteValue();
  }
  return result;
}
",Converts an array of object Bytes to primitives. ,"Convert an array of object Bytes to primitives, return null for a null input array.",yes,yes
636767dc1a6d9265ec0186be,"static long compressTimeBucket(long timeBucket,int dayStep){
  if (dayStep > 1) {
    DateTime time=TIME_BUCKET_FORMATTER.parseDateTime("""" + timeBucket);
    int days=Days.daysBetween(DAY_ONE,time).getDays();
    int groupBucketOffset=days % dayStep;
    return Long.parseLong(time.minusDays(groupBucketOffset).toString(TIME_BUCKET_FORMATTER));
  }
 else {
    return timeBucket;
  }
}
",Follow the dayStep to re-format the time bucket literal long value. ,Follow the dayStep to reformat the time bucket with TIME_BUCKET_FORMATTER. ,yes,yes
636767a41a6d9265ec01856c,"public static int computeUTF8Size(final CharSequence str,final int index,final int len){
  int size=len;
  for (int i=index; i < len; i++) {
    final char c=str.charAt(i);
    if (c < 0x0080)     continue;
    if (c < 0x0800)     size++;
 else     size+=2;
  }
  return size;
}
",Computes the size of the utf8 string beginning at the specified code index with the specified code length.,Compute the size of the utf8 string beginning at the specified  index  with the specified length.,yes,yes
636766f01a6d9265ec017639,"public static <T>List<T> asList(T[] a){
  if (a == null)   return Collections.emptyList();
  return Arrays.asList(a);
}
",Array to List. ,"Convert an array to list, return empty list for null array.",yes,yes
6367672d1a6d9265ec017c74,"public boolean remove(int val){
  if (map.containsKey(val)) {
    map.remove(val);
    values.remove(values.indexOf(val));
    return true;
  }
  return false;
}
",Removes a value from the set. ,Remove a value from the values if the map keys contains the val. ,yes,yes
6367676b1a6d9265ec0181df,"public static boolean startsWithIgnoreCase(String str,String prefix){
  if (str == null || prefix == null) {
    return false;
  }
  if (str.startsWith(prefix)) {
    return true;
  }
  if (str.length() < prefix.length()) {
    return false;
  }
  String lcStr=str.substring(0,prefix.length()).toLowerCase();
  String lcPrefix=prefix.toLowerCase();
  return lcStr.equals(lcPrefix);
}
","Returns true if the given string starts with the specified case-insensitive prefix, false otherwise.","Return true if the given string starts with the specified case-insensitive prefix, false otherwise.",yes,yes
6367674b1a6d9265ec017dc0,"private Set<V> initVisibleVertices(){
  Set<V> visibleVertex=new HashSet<>();
  for (  E e : graph.edgeSet()) {
    V s=graph.getEdgeSource(e);
    V t=graph.getEdgeTarget(e);
    if (!s.equals(t)) {
      visibleVertex.add(s);
      visibleVertex.add(t);
    }
  }
  return visibleVertex;
}
",Compute all vertices that have positive degree by iterating over the edges on purpose. ,Compute all vertices by iterating over the edges of this graph.,yes,yes
636767001a6d9265ec017873,"public static String reverse(final String str){
  if (str == null) {
    return null;
  }
  return new StringBuilder(str).reverse().toString();
}
",Reverses a String as per StringBuilder.reverse(). ,Reverse the given String as per.,yes,yes
636766ff1a6d9265ec01783b,"public static String sub(String str,int start,int end){
  return StringUtils.substring(str,start,end);
}
",Gets a substring from the specified String avoiding exceptions.,Get a substring from the specified String avoiding exceptions.,yes,yes
6367671a1a6d9265ec017c15,"public ByteVector putByteArray(final byte[] byteArrayValue,final int byteOffset,final int byteLength){
  if (length + byteLength > data.length) {
    enlarge(byteLength);
  }
  if (byteArrayValue != null) {
    System.arraycopy(byteArrayValue,byteOffset,data,length,byteLength);
  }
  length+=byteLength;
  return this;
}
",Puts an array of bytes into this byte vector. ,"Put an array of bytes into this byte vector, enlarge the byte vector automatically if necessary.",yes,yes
636766821a6d9265ec0174d2,"public static AtmosphereRequest wrap(HttpServletRequest request){
  if (AtmosphereRequestImpl.class.isAssignableFrom(request.getClass())) {
    return (AtmosphereRequestImpl)request;
  }
  Builder b=new Builder();
  Enumeration<String> e=request.getAttributeNames();
  String s;
  while (e.hasMoreElements()) {
    s=e.nextElement();
    b.localAttributes.put(s,attributeWithoutException(request,s));
  }
  return b.request(request).build();
}
",Wrap an HttpServletRequest.,Wrap an HttpServletRequest with the Builder.,yes,yes
636767ab1a6d9265ec01867b,"public static LinkedBuffer writeUTF8(final CharSequence str,final WriteSession session,final LinkedBuffer lb){
  final int len=str.length();
  if (len == 0)   return lb;
  return lb.offset + len > lb.buffer.length ? writeUTF8(str,0,len,lb.buffer,lb.offset,lb.buffer.length,session,lb) : writeUTF8(str,0,len,session,lb);
}
",Writes the utf8-encoded bytes from the string into the LinkedBuffer.,Write the utf8-encoded bytes from the string into the LinkedBuffer.,yes,yes
6367675c1a6d9265ec01805b,"public void removeFromTreeEdgeList(){
  for (int dir=0; dir < 2; dir++) {
    if (prev[dir] != null) {
      prev[dir].next[dir]=next[dir];
    }
 else {
      head[1 - dir].first[dir]=next[dir];
    }
    if (next[dir] != null) {
      next[dir].prev[dir]=prev[dir];
    }
  }
  head[0]=head[1]=null;
}
",Removes this edge from both doubly linked lists of tree edges.,Remove this edge from both doubly linked lists of the tree edges.,yes,yes
636767791a6d9265ec01826d,"public static String findAndSubst(String key,Properties props){
  String value=props.getProperty(key);
  if (value == null)   return null;
  try {
    return substVars(value,props);
  }
 catch (  IllegalArgumentException e) {
    LogLog.error(""Bad option value ["" + value + ""]."",e);
    return value;
  }
}
",Find the value corresponding to key in props. ,"Find the value corresponding to key in props, then perform variable substitution on the found value. ",yes,yes
636767001a6d9265ec01787f,"protected void appendDetail(StringBuffer buffer,String fieldName,int[] array){
  buffer.append(arrayStart);
  for (int i=0; i < array.length; i++) {
    if (i > 0) {
      buffer.append(arraySeparator);
    }
    appendDetail(buffer,fieldName,array[i]);
  }
  buffer.append(arrayEnd);
}
",Append to the toString the detail of an int array.,"Append the detail of an int array to the buffer, starting with arrayStart and ending with arrayEnd, and separating with arraySeparator.",yes,yes
636766fe1a6d9265ec017834,"public static String sessionId(){
  HttpSession httpSession=servletSession();
  if (httpSession == null) {
    return null;
  }
  return httpSession.getId();
}
",Session ID.,Return the servlet session id.,no,yes
636766ff1a6d9265ec01784b,"public static boolean isDigits(String str){
  if ((str == null) || (str.length() == 0)) {
    return false;
  }
  for (int i=0; i < str.length(); i++) {
    if (!Character.isDigit(str.charAt(i))) {
      return false;
    }
  }
  return true;
}
",Checks whether the String contains only digit characters. ,Check whether a character string is a dight. ,yes,yes
636766fc1a6d9265ec0177da,"private static boolean isParameterSeparator(final char c){
  if (Character.isWhitespace(c)) {
    return true;
  }
  for (  char separator : PARAMETER_SEPARATORS) {
    if (c == separator) {
      return true;
    }
  }
  return false;
}
","Determine whether a parameter name ends at the current position, that is, whether the given character qualifies as a separator.",Check whether a character is a parameter separator. ,yes,yes
6367670c1a6d9265ec017a35,"private static boolean endsWith(final String str,final String suffix,final boolean ignoreCase){
  if (str == null || suffix == null) {
    return str == null && suffix == null;
  }
  if (suffix.length() > str.length()) {
    return false;
  }
  int strOffset=str.length() - suffix.length();
  return str.regionMatches(ignoreCase,strOffset,suffix,0,suffix.length());
}
",Check if a String ends with a specified suffix (optionally case insensitive).,Determines whether a character string ends with a specified suffix.,yes,yes
6367667f1a6d9265ec01745d,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
  String rawPath=u.getRawPath();
  if (rawPath != null && rawPath.length() > 0 && rawPath.charAt(0) == '/') {
    rawPath=rawPath.substring(1);
  }
  return decodePath(rawPath,decode);
}
",Decode the path component of a URI as path segments.,Decode the raw path.,yes,yes
636766f11a6d9265ec017651,"public static Character[] nullToEmpty(final Character[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_CHARACTER_OBJECT_ARRAY;
  }
  return array;
}
",Defensive programming technique to change a null reference to an empty one. ,"If array is null or its length is 0, convert array to EMPTY_CHARACTER_OBJECT_ARRAY. ",yes,yes
636767821a6d9265ec0183ab,"public boolean hasThrown(){
  Throwable thrown=getThrown();
  if (thrown == null) {
    return false;
  }
  String thrownString=thrown.toString();
  return thrownString != null && thrownString.trim().length() != 0;
}
",Return true if getThrown().toString() is a non-empty string.,Check whether there is a thrown.,yes,yes
636767831a6d9265ec0183c9,"public static String peek(){
  Stack stack=getCurrentStack();
  if (stack != null && !stack.isEmpty())   return ((DiagnosticContext)stack.peek()).message;
 else   return """";
}
",Looks at the last diagnostic context at the top of this NDC without removing it. ,Return the value at the top of the stack.,yes,yes
636767de1a6d9265ec01871c,"public void valueAccumulation(String key,Long value){
  Long element=data.get(key);
  if (element == null) {
    element=value;
  }
 else {
    element+=value;
  }
  data.put(key,element);
}
",Accumulate the value with existing value in the same given key.,Add the value to the original value of the key.,yes,yes
636766811a6d9265ec017496,"public InputStream next() throws IOException {
  if (stack.isEmpty()) {
    current=null;
    return null;
  }
 else {
    current=stack.removeLast();
    return current;
  }
}
",Return the next java.io.File object or null if no more files are available.,"If the stack is not empty, the last element of the stack is returned. ",yes,yes
6367677e1a6d9265ec01832e,"public Logger exists(String name){
  Object o=ht.get(new CategoryKey(name));
  if (o instanceof Logger) {
    return (Logger)o;
  }
 else {
    return null;
  }
}
",Check if the named logger exists in the hierarchy. ,Check if the named logger exists. ,yes,yes
6367670a1a6d9265ec0179e7,"public Converter lookup(final Class<?> clazz){
  Converter conv=(Converter)this.converters.get(clazz);
  if (conv != null) {
    return conv;
  }
  for (  Object regType : this.converters.keySet()) {
    if (((Class<?>)regType).isAssignableFrom(clazz)) {
      return (Converter)this.converters.get(regType);
    }
  }
  return null;
}
","Look up and return any registered Converter for the specified destination class; if there is no registered Converter, return null.",Check whether the specified converter exists in converters. ,yes,yes
636767a41a6d9265ec018572,"public long readRawVarint64() throws IOException {
  int shift=0;
  long result=0;
  while (shift < 64) {
    final byte b=readRawByte();
    result|=(long)(b & 0x7F) << shift;
    if ((b & 0x80) == 0) {
      return result;
    }
    shift+=7;
  }
  throw ProtobufException.malformedVarint();
}
",Read a raw Varint from the stream.,Read raw varint.,yes,yes
636767021a6d9265ec0178bb,"public static Double[] nullToEmpty(final Double[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_DOUBLE_OBJECT_ARRAY;
  }
  return array;
}
",Defensive programming technique to change a null reference to an empty one. ,"If the double type array is null or its length is 0, convert array to EMPTY_CHARACTER_OBJECT_ARRAY. ",yes,yes
636767021a6d9265ec0178b2,"private void pop(final String descriptor){
  char firstDescriptorChar=descriptor.charAt(0);
  if (firstDescriptorChar == '(') {
    pop((Type.getArgumentsAndReturnSizes(descriptor) >> 2) - 1);
  }
 else   if (firstDescriptorChar == 'J' || firstDescriptorChar == 'D') {
    pop(2);
  }
 else {
    pop(1);
  }
}
",Pops as many abstract types from the output frame stack as described by the given descriptor.,Pop the various value according to the first character of the descriptor.,yes,yes
